indId,themaId,displayEU,indCode,indShortName,indLongName,indUnit,indFilter,indURL,indPeriod,indDivider,indDescEn
10,1,0,"tps00001","Bevölkerung","Gesamtbevölkerung am 1. Januar","Mio. Personen",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tps00001&plugin=1","2015","1000000","Dieser Indikator zeigt die Anzahl der Einwohner eines Landes am 1. Januar (in einigen Fällen am 31. Dezember des Vorjahres). <br>Die Bevölkerungszahlen beruhen auf den Daten des letzten Zensus, bereinigt um die Komponenten der Bevölkerungsveränderung seit dem letzten Zensus, oder auf Bevölkerungsregistern. "
10,1,0,"proj_13npms","Bevölkerung 2080","Bevölkerung im Jahr 2080 (Prognose)","Mio. Personen","age:TOTAL|sex:T","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-376628_QID_-751B0A69_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BAGE,L,Z,0%3BSEX,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-376628SEX,T%3BDS-376628AGE,TOTAL%3BDS-376628INDICATORS,OBS_FLAG%3B&rankName1=SEX_1_2_-1_2&rankName2=AGE_1_2_-1_2&rankName3=INDICATORS_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=NONE&time_most_recent=false&lang=EN&cfo=%23%23%23,%23%23%23.%23%23%23","2080","1000000","Dieser Indikator zeigt die wahrscheinlich zukünftige Bevölkerungsgröße im Jahr 2080. <br>Hierbei handelt sich um ein „Was wäre, wenn“-Szenario, welches versucht, Aufschluss über die wahrscheinlich zukünftige Größe und Altersstruktur der Bevölkerung auf der Grundlage von Annahmen über die künftige Entwicklung der Fruchtbarkeit, Lebenserwartung und Wanderung zu bieten."
10,1,1,"demo_pjanind-1","Medianalter der Bevölkerung","Medianalter der Gesamtbevölkerung","Jahre","indic_de:MEDAGEPOP","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-054158_QID_-706348A0_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BINDIC_DE,L,Z,0%3BINDICATORS,C,Z,1%3B&zSelection=DS-054158INDICATORS,OBS_FLAG%3BDS-054158INDIC_DE,MEDAGEPOP%3B&rankName1=INDIC-DE_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=TIME_1_0_0_0&rankName4=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","1000000","Dieser Indikator zeigt das Medianalter der Gesamtbevölkerung. <br>Das Medianalter ist das Alter, das die Bevölkerung des Landes in zwei gleich große Gruppen teilt, d. h. die eine Hälfte der Bevölkerung ist jünger als dieses Alter und die andere Hälfte älter."
10,1,1,"demo_pjanind-2","Bevölkerung, 15 - 24 Jahre","Bevölkerung im Alter von 15 bis 24 Jahren","% der Gesamtbevölkerung","indic_de:PC_Y15_24","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-054158_QID_-831095D_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BINDIC_DE,L,Z,0%3BINDICATORS,C,Z,1%3B&zSelection=DS-054158INDICATORS,OBS_FLAG%3BDS-054158INDIC_DE,MEDAGEPOP%3B&rankName1=INDIC-DE_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=TIME_1_0_0_0&rankName4=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt den Anteil der Bevölkerung im Alter von 15 bis 24 Jahren an der Gesamtbevölkerung."
10,1,1,"tps00010","Bevölkerung, 80+ Jahre","Bevölkerung im Alter von 80 Jahren und älter","% der Gesamtbevölkerung",,"http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-054158_QID_-6F333A14_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BINDIC_DE,L,Z,0%3BINDICATORS,C,Z,1%3B&zSelection=DS-054158INDICATORS,OBS_FLAG%3BDS-054158INDIC_DE,PC_Y15_24%3B&rankName1=INDIC-DE_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=TIME_1_0_0_0&rankName4=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt den Anteil der Bevölkerung im Alter von 80 Jahren und älter an der Gesamtbevölkerung."
10,1,1,"tps00003","Bevölkerungsdichte ","Bevölkerungsdichte ","Einwohner je km2",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=2&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tps00003&plugin=1","2013","","Dieser Indikator zeigt die Zahl der Einwohner je Quadratkilometer. "
10,1,1,"tsdde220","Fruchtbarkeitsziffer","Fruchtbarkeitsziffer","Mittlere Anzahl der Kinder je Frau",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tsdde220&plugin=1","2013","","Dieser Indikator zeigt die mittlere Anzahl lebend geborener Kinder, die eine Frau im Laufe ihres Lebens gebären würde, wenn sie während ihres gebärfähigen Alters den für ein gegebenes Jahr gemessenen altersspezifischen Fruchtbarkeitsziffern entsprechen würde. <br>Um die Bevölkerungsgröße konstant zu halten, ist eine Fruchtbarkeitsziffer von 2,1 notwendig, sofern keine Wanderungsströme zu verzeichnen sind. "
10,1,1,"tesem010","Erwerbstätigenquote","Erwerbstätigenquote","% der Beschäftigten im Alter von 20-64 Jahren ","sex:T","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&pcode=tesem010&language=en","2014","","Dieser Indikator zeigt die Erwerbstätigenquote von Personen im Alter von 20 bis 64 Jahren. <br>Dabei handelt es sich um den Anteil der erwerbstätigen 20- bis 64-Jährigen an der Gesamtbevölkerung derselben Altersgruppe. <br>Erwerbstätige sind Personen, die in der Bezugswoche mindestens eine Stunde lang gegen Entgelt, zur Gewinnerzielung oder zur Mehrung des Familieneinkommens gearbeitet haben oder die in der Bezugswoche nicht gearbeitet haben, aber einen Arbeitsplatz oder ein Unternehmen hatten, von dem sie vorübergehend abwesend waren. Zu den Erwerbstätigen zählen Arbeitnehmer und Selbständige. <br>Die Erwerbstätigenquote wird gemäß der Definition der Internationalen Arbeitsorganisation (ILO) gemessen. "
10,1,1,"tesem140","Jugendarbeitslosenquote","Jugendarbeitslosenquote","% der Erwerbsbevölkerung unter 25 Jahren",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=tesem140&plugin=1","2014","","Dieser Indikator zeigt die Arbeitslosenquote der Jugendlichen im Alter von 15 bis 24 Jahren als Anteil an der Erwerbsbevölkerung derselben Altersgruppe. <br>Arbeitslose sind Personen, die 1) in der Bezugswoche ohne Arbeit waren, aber gegenwärtig für eine Beschäftigung zur Verfügung stehen, und 2) entweder in den vergangenen vier Wochen aktiv auf Arbeitssuche waren oder bereits eine Arbeit mit vorgesehener Arbeitsaufnahme innerhalb der nächsten drei Monate gefunden hatten. <br>Die Erwerbsbevölkerung besteht aus den Erwerbstätigen und den Erwerbslosen. <br>Die Messung erfolgt gemäß der Definition der Internationalen Arbeitsorganisation (ILO).  "
10,1,1,"tsdde420","Dauer des Erwerbslebens","Dauer des Erwerbslebens","Jahre","sex:T","http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=tsdde420&language=en","2014","","Dieser Indikator zeigt die Anzahl der Jahre, die eine 15 Jahre alte Person während ihres Lebens erwartungsgemäß aktiv im Erwerbsleben (d. h. in Beschäftigung) verbringt."
10,1,1,"tps00012","Eheschließungen","Eheschließungsziffer","je 1000 Personen",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tps00012&plugin=1","2013","","Dieser Indikator zeigt das Verhältnis der Zahl der Eheschließungen in einem Jahr zur durchschnittlichen Bevölkerungszahl im betreffenden Jahr. Der Wert wird je 1000 Einwohner angegeben. <br>Eine Eheschließung ist eine Rechtshandlung, Amtshandlung oder der amtliche Vorgang, durch den die rechtliche Beziehung zwischen den Ehegatten förmlich hergestellt wird. Die Verbindung kann durch standesamtliche, kirchliche oder sonstige nach den Gesetzen eines Landes anerkannte Eheschließung rechtmäßig werden. "
10,1,1,"tps00013","Scheidungen","Scheidungsziffer","je 1000 Personen",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tps00013&plugin=1","2012","","Dieser Indikator zeigt das Verhältnis der Zahl der Ehescheidungen in einem Jahr zur durchschnittlichen Bevölkerungszahl im betreffenden Jahr. Der Wert wird je 1000 Einwohner angegeben. <br>Eine Scheidung ist die endgültige rechtliche Auflösung (Beendigung) einer Ehe nach den Gesetzen eines Landes. Scheidungen sind ist in allen Mitgliedstaaten der Europäischen Union möglich. "
10,1,1,"tps00025-1","Lebenserwartung: Männer","Lebenserwartung bei Geburt: Männer","Jahre","sex:M","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=2&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tps00025&plugin=1","2013","","Dieser Indikator zeigt die durchschnittliche Anzahl der Jahre, die ein männliches Neugeborenes voraussichtlich lebt, wenn die bei seiner Geburt herrschenden Sterblichkeitsbedingungen während seines ganzen Lebens bestehen bleiben."
10,1,1,"tps00025-2","Lebenserwartung: Frauen","Lebenserwartung bei Geburt: Frauen","Jahre","sex:F","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=3&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tps00025&plugin=1","2013","","Dieser Indikator zeigt die durchschnittliche Anzahl der Jahre, die ein weibliches Neugeborenes voraussichtlich lebt, wenn die bei seiner Geburt herrschenden Sterblichkeitsbedingungen während seines ganzen Lebens bestehen bleiben."
10,1,1,"tps00027","Säuglingssterblichkeit","Säuglingssterblichkeit ","je 1000 Lebendgeburten",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tps00027&plugin=1","2013","","Dieser Indikator zeigt das Verhältnis der Anzahl der Todesfälle von Säuglingen unter einem Jahr zur Anzahl der Lebendgeburten im Referenzjahr. Der Wert wird je 1000 Lebendgeburten angegeben. "
10,1,1,"tsdpc510","Personen je Haushalt","Durchschnittliche Anzahl der Personen je Haushalt","Personen",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tsdpc510&plugin=1","2014","","Dieser Indikator zeigt die durchschnittliche Anzahl an Personen, die in einem privaten Haushalt leben. <br>Ein privater Haushalt ist eine Einheit mit gemeinsamer Haushaltsführung, die sich die Haushaltsausgaben oder die täglichen Aufgaben teilt und eine Wohnung gemeinsam nutzt. "
10,1,1,"ilc_lvps08-1","Männer, die bei ihren Eltern wohnen","Männer im Alter von 18 bis 34 Jahren, die bei ihren Eltern wohnen","% der Gesamtbevölkerung im Alter von 18 bis 34 Jahren ","sex:M|age:Y18-34","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-207342_QID_44320CBA_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BSEX,L,Z,0%3BAGE,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-207342SEX,M%3BDS-207342AGE,Y18-34%3BDS-207342INDICATORS,OBS_FLAG%3B&rankName1=AGE_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=SEX_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt den Anteil der Männer im Alter von 18 bis 34 Jahren, die mit ihren Eltern/einem Elternteil in einem gemeinsamen Haushalt leben, ausgedrückt als % der Gesamtbevölkerung derselben Altersgruppe. "
10,1,1,"ilc_lvps08-2","Frauen, die bei ihren Eltern wohnen","Frauen im Alter von 18 bis 34 Jahren, die bei ihren Eltern wohnen","% der Gesamtbevölkerung im Alter von 18 bis 34 Jahren ","sex:F|age:Y18-34","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-207342_QID_44AD0D15_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BSEX,L,Z,0%3BAGE,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-207342SEX,M%3BDS-207342AGE,Y18-34%3BDS-207342INDICATORS,OBS_FLAG%3B&rankName1=AGE_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=SEX_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt den Anteil der Frauen im Alter von 18 bis 34 Jahren, die mit ihren Eltern/einem Elternteil in einem gemeinsamen Haushalt leben, ausgedrückt als % der Gesamtbevölkerung derselben Altersgruppe. "
10,1,0,"tps00191","Asylbewerber","Asylbewerber","Tausend Personen","asyl_app:ASY_APP","http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=tps00191&language=en","2014","1000","Dieser Indikator zeigt die Gesamtzahl der Asylbewerber im Laufe des Jahres. Ein Asylbewerber ist eine Person, die im Bezugszeitraum einen Antrag auf internationalen Schutz gestellt hat oder als Familienangehörige in einen solchen Antrag einbezogen ist. Bei einem Antrag auf internationalen Schutz ist unerheblich, ob der Antrag bei der Ankunft an der Grenze oder im Land gestellt wurde und ob die Person legal (z. B. als Tourist) oder illegal eingereist ist."
10,1,1,"educ_ipart_s","Studierende","Studierende des Tertiärbereichs im Alter von 20 bis 24 Jahren ","% der Gesamtbevölkerung im Alter von 20 bis 24 Jahren","indic_ed:PS03_10|sex:T","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-063179_QID_6E6F81C6_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BINDIC_ED,L,Z,0%3BSEX,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-063179SEX,T%3BDS-063179INDIC_ED,PS03_10%3BDS-063179INDICATORS,OBS_FLAG%3B&rankName1=INDIC-ED_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=SEX_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2012","","Dieser Indikator zeigt den Studierenden im Alter von 20 bis 24 Jahren, die im Tertiärbereich eingeschrieben sind, ausgedrückt als % der Gesamtbevölkerung derselben Altersgruppe. <br>Der Tertiärbereich umfasst Bildungsgänge mit akademischer Ausrichtung, in denen weitgehend theoretisches Wissen vermittelt wird, und Bildungsgänge mit berufsspezifischer Ausrichtung sowie Studiengänge auf tertiärer Ebene, die zu einer höheren Forschungsqualifikation (Promotion) führen. "
